References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
C1	1	MLCC - SMD/SMT 0603 1.0uF 6.3volts 	Murata Electronics	GRM033R60J105MEA2D	490-7229-1-ND	81-GRM033R60J105ME2D			
C2	1	MLCC - SMD/SMT 0603 0.1uF 6.3volts 	Murata Electronics	GRM033R60J104KE19D	490-3167-1-ND	81-GRM033R60J104KE19			
"C3, C4"	2	MLCC - SMD/SMT 0603 22pF 50volts 	Murata Electronics	GRM0335C1H200GA01D	490-6122-1-ND	81-GRM0335C1H200GA1D			
C5	1	MLCC - SMD/SMT 0603 0.22uF 6.3volts 	Murata Electronics	GRM033R60J224ME15D	490-10407-1-ND	81-GRM033R60J224ME5D			
P1	1	USB Connectors USB A PLUG SMT	Molex	48037-2200	WM3983CT-ND	538-48037-2200			
F1	1	PTC RESTTBLE 0.75A 6V CHIP 1206	Bel Fuse	0ZCJ0075FF2E	507-1804-1-ND	530-0ZCJ0075FF2E			
J1	1	"Female header, 8 position, unpopulated"							
J2	1	"Female header, 5 position, unpopulated"							
XT1	1	"12MHz Crystal 20pF Surface Mount 4-SMD, No Lead (DFN, LCC)"	CTS-Frequency Controls	403C35E12M00000	CTX1218CT-ND	774-403C35E12M00000			
U1	1	IC MCU 8BIT 16KB FLASH 20SSOP	Microchip	PIC18F14K50-I/SS	PIC18F14K50-I/SS-ND	579-PIC18F14K50-I/SS			
R1	1	RES SMD 470 OHM 5% 1/10W 0603	Yageo	RC0603JR-07470RL	311-470GRCT-ND	603-RC0603JR-07470RL			
D1	1	LED BLUE CLEAR 0603 SMD	Wurth Electronics	150060BS75000	732-4966-1-ND	710-150060BS75000			
